Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses,Policy
403.gcc,256,8,256,0.368905,22.034845058099062,3.974861773448279,3184038772,70159801,12656114,LIP
403.gcc,512,8,256,0.413469,21.349533392150036,2.847315962219992,3184120456,67979486,9066197,LIP
403.gcc,1024,16,256,0.444131,21.272885434310037,2.184010385749935,3184002716,67732925,6953895,LIP
403.gcc,2048,16,256,0.480079,21.25170217496882,1.5108777861668987,3184155624,67668727,4810870,LIP
429.mcf,256,8,256,0.0510331,177.06383881717025,61.94701418338348,18199718596,3222512040,1127418226,LIP
429.mcf,512,8,256,0.0575549,176.1825408500948,53.1182848185616,18199718596,3206472665,966737836,LIP
429.mcf,1024,16,256,0.0643403,176.00499310489448,45.799516987213096,18199718596,3203241346,833538321,LIP
429.mcf,2048,16,256,0.0791252,175.82293787241807,34.19376858589314,18199718596,3199927992,622316966,LIP
433.milc,256,8,256,0.230189,37.03118020203758,9.775233077068883,38323372041,1419159696,374619894,LIP
433.milc,512,8,256,0.235741,36.75765195517928,9.38239287279496,38323372606,1408677192,359564938,LIP
433.milc,1024,16,256,0.236405,36.770469140669846,9.333970758557133,38323372041,1409168369,357709234,LIP
433.milc,2048,16,256,0.243692,36.651710567047175,8.835180516937747,38323372041,1404617140,338593910,LIP
444.namd,256,8,256,0.685402,10.044024808462721,0.06685974473050645,60533958308,608004579,4047285,LIP
444.namd,512,8,256,0.687728,10.058191787436325,0.04627873310331371,60533960464,608862184,2801435,LIP
444.namd,1024,16,256,0.687771,10.263243703491197,0.03360522111438279,60533956705,621274750,2034257,LIP
444.namd,2048,16,256,0.690057,10.063393294704847,0.0263283132411588,60533957698,609177024,1593757,LIP
450.soplex,256,8,256,0.208686,54.319520482615935,10.489634058909171,7441870094,404238815,78062494,LIP
450.soplex,512,8,256,0.23621,53.21678168559311,8.321735553403313,7435918097,395715630,61879744,LIP
450.soplex,1024,16,256,0.257176,52.83211948557598,6.964628235281831,7439881247,393064695,51816007,LIP
450.soplex,2048,16,256,0.279694,52.424617202898474,5.736862133199046,7439826513,390030057,42681259,LIP
459.GemsFDTD,256,8,256,0.133189,124.85162194373567,16.909459348704853,108731492420,13575303185,1838590751,LIP
459.GemsFDTD,512,8,256,0.137331,124.60476661710953,16.01847425534994,108731492228,13548462213,1741712609,LIP
459.GemsFDTD,1024,16,256,0.1395,124.49364651053807,15.572251676396611,108731492220,13536379957,1693194162,LIP
459.GemsFDTD,2048,16,256,0.151601,124.41383663324856,13.288228798018828,108731492132,13527702099,1444848945,LIP
470.lbm,256,8,256,0.174081,82.67230009234314,12.693722843475182,96483397826,7976504419,1224733511,LIP
470.lbm,512,8,256,0.175696,82.49288755723303,12.493316572182056,96483397826,7959194088,1205397633,LIP
470.lbm,1024,16,256,0.175889,82.46358854762417,12.469984920823139,96483397826,7956367220,1203146516,LIP
470.lbm,2048,16,256,0.188484,82.45225435931155,10.951045483550256,96483397826,7955273659,1056594078,LIP
